generation,index,fitness,individual,state
1,0,2.3020088e-5,"""0.11560871;0.66491944""","""Rt 0.0000"""
1,1,0.0010277292,"""0.7123664;0.8039695""","""Rt 0.0000"""
1,2,2.2989794e-5,"""0.25895825;0.43481523""","""Rt 0.0000"""
1,3,2.6357739e-5,"""0.45033008;0.55966944""","""Rt 0.0000"""
1,4,2.3020228e-5,"""0.15767147;0.67451304""","""Rt 0.0000"""
1,5,2.301738e-5,"""0.13468827;0.5452865""","""Rt 0.0000"""
1,6,0.001581043,"""0.25599805;0.033098463""","""Rt 3.2873"""
1,7,8.883554e-5,"""0.37862104;0.23798016""","""Rt 3.1389"""
1,8,2.2920005e-5,"""0.41064447;0.16898419""","""Rt 0.0000"""
1,9,2.3020513e-5,"""0.009964467;0.5663057""","""Rt 0.0000"""
1,10,2.323965e-5,"""0.46078235;0.9771168""","""Rt 0.0000"""
1,11,0.03690656,"""0.8028759;0.18663754""","""Rt 3.0011"""
1,12,2.3020513e-5,"""0.0026670697;0.99059415""","""Rt 0.0000"""
1,13,2.3010947e-5,"""0.19817558;0.5071803""","""Rt 0.0000"""
1,14,2.3019642e-5,"""0.025725726;0.42135602""","""Rt 0.0000"""
1,15,0.0084646735,"""0.78238606;0.5184596""","""Rt 0.0000"""
1,16,2.2955259e-5,"""0.40397805;0.9966396""","""Rt 0.0000"""
1,17,2.3019938e-5,"""0.15498556;0.6754162""","""Rt 0.0000"""
1,18,2.2994922e-5,"""0.36882165;0.7593956""","""Rt 0.0000"""
1,19,2.3255321e-5,"""0.36147144;0.84698653""","""Rt 0.0000"""
1,20,2.2864002e-5,"""0.51621515;0.7305824""","""Rt 0.0000"""
1,21,2.3020093e-5,"""0.31596985;0.5318964""","""Rt 0.0000"""
1,22,2.3001892e-5,"""0.08032537;0.1103604""","""Rt 0.0000"""
1,23,0.07194352,"""0.95258427;0.35603896""","""Rt 2.9833"""
1,24,0.0016041383,"""0.71885294;0.7070102""","""Rt 0.0000"""
1,25,2.3005221e-5,"""0.2688655;0.25857523""","""Rt 0.0000"""
1,26,2.3020373e-5,"""0.14289452;0.57015234""","""Rt 0.0000"""
1,27,0.052213304,"""0.7245696;0.043896083""","""Rt 2.9880"""
1,28,0.0010490336,"""0.56752545;0.45007807""","""Rt 0.0000"""
