generation,index,fitness,individual,state
1,0,0.009162827,"""0.82678664;0.8411938""","""Rt 0.0000 - Step 12"""
1,1,0.010512618,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 19"""
1,2,0.015952572,"""0.82786167;0.48867327""","""Rt 0.0000 - Step 25"""
1,3,0.02298747,"""0.89100826;0.7557579""","""Rt 0.0000 - Step 16"""
1,4,0.008287506,"""0.6123046;0.2390863""","""Rt 0.0000 - Step 49"""
1,5,9.465432e-6,"""0.23356143;0.9431716""","""Rt 0.0000 - Step 3"""
1,6,9.061099e-6,"""0.09873845;0.16899182""","""Rt 0.0000 - Step 4"""
1,7,0.008749684,"""0.72296244;0.5255012""","""Rt 0.0000 - Step 21"""
1,8,0.028895259,"""0.6609134;0.14324547""","""Rt 2.9244 - Step 68"""
1,9,9.413188e-6,"""0.07464195;0.7678392""","""Rt 0.0000 - Step 3"""
1,10,0.021468107,"""0.7568909;0.32127395""","""Rt 0.0000 - Step 41"""
1,11,9.148765e-6,"""0.12840725;0.61454123""","""Rt 0.0000 - Step 6"""
1,12,0.010705696,"""0.8467953;0.84775674""","""Rt 0.0000 - Step 21"""
1,13,0.00010174685,"""0.22307733;0.1886783""","""Rt 0.0000 - Step 5"""
1,14,3.4897374e-5,"""0.17655565;0.1951088""","""Rt 0.0000 - Step 13"""
1,15,0.00011878505,"""0.5058996;0.80229175""","""Rt 0.0000 - Step 2"""
1,16,0.0019717775,"""0.6990611;0.7839141""","""Rt 0.0000 - Step 14"""
1,17,0.0015037592,"""0.58166784;0.528297""","""Rt 0.0000 - Step 23"""
1,18,9.362843e-6,"""0.17780222;0.6899895""","""Rt 0.0000 - Step 1"""
1,19,0.0005452476,"""0.5220714;0.69520515""","""Rt 0.0000 - Step 2"""
1,20,0.014341558,"""0.8224461;0.6494418""","""Rt 0.0000 - Step 22"""
1,21,9.2013715e-6,"""0.15430702;0.30828348""","""Rt 0.0000 - Step 2"""
1,22,0.042565793,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 22"""
